A0LELS4,No CD changer,175,,
A0LELS4,No CD changer,175,,
A0LERX3,,,,
A0LERX3,,,,
A0LESC*,,,,
A0LESCx,Cloth seats,175
A0LICON,,
A0LICON,,
A0LICON,,
A0LILS*,,
A0LILSx,,
A0LINAV,,
A0LITOW,,
A0LITOW,,
A0MA626,Manual trans,225
A0MA626,Manual trans,225
A0MAB25,,
A0MAB25,,
A0MAMIA,No air cond,175
A0MAMIA,No air cond,175
A0MAMPV,No ABS,75
A0MAMPV,No ABS,75,,
A0MAPRO,No air cond,175,Manual trans,175
A0MAPRO,No air cond,175,Manual trans,175
A0MBC-C,,,,
A0MBC-C,,,,
A0MBCLK,No CD,50,,
A0MBCLK,No CD,50,,
A0MBE-C,No CD,50,,
A0MBE-C,No CD,50,,
A0MBMSE,,,,
A0MBS-C,No CD,50,,
A0MBS-C,No CD,50,,
A0MBSL-,No CD,50,,
A0MBSL-,No CD,50,,
A0MBSLK,No CD,50,,
A0MBSLK,No CD,50,,
A0MECOU,,,,,
A0MECOU,,,,,
A0MEGRA,,,,,
A0MEGRA,,,,,
A0MEMOU,4.0L-V6 (200hp),175,,,
A0MEMOU,4.0L-V6 (200hp),175,,,
A0MEMYS,Manual trans,175,,,
A0MEMYS,Manual trans,175,,,
A0MESAB,,,,,
A0MESAB,,,,,
A0METRA,No air cond,175,Manual trans,175,
A0METRA,No air cond,175,Manual trans,175,
A0MIDIA,,,,,
A0MIDIA,,,,,
A0MIECL,,,,,Manual trans
A0MIECL,,,,,Manual trans
A0MIGAL,,,,,,
A0MIGAL,,,,,,
A0MIMIG,,,,,,
A0MIMIG,,,,,,
A0MIMIR,No air cond,175,,,Manual trans,175
A0MIMIR,No air cond,175,,,Manual trans,175
A0MIMON,,,,,,
A0MIMON,,,,,,
A0NIALT,No air cond,200,Manual trans,175,,
A0NIALT,No air cond,200,Manual trans,175,,
A0NIMAX,Manual trans,250,,,,
A0NIMAX,Manual trans,250,,,,
A0NIPAT,,,,,,
A0NIPAT,,,,,,
A0NIPIC,,,,,,
A0NIPIC,,,,,,
A0NISEN,No air cond,250,,,Manual trans,200
A0NISEN,No air cond,250,,,Manual trans,200
A0OLALE,2.4L-I4 (150hp),175,,,,
A0OLALE,2.4L-I4 (150hp),175,,,,
A0OLAUR,,,,,,
A0OLAUR,,,,,,
A0OLBRA,,,,,,
A0OLBRA,,,,,,
A0OLSIL,,,,,,
A0OLSIL,,,,,,
A0PLBRE,Manual Trans,250,,,,
A0PLBRE,Manual Trans,250,,,,
A0PLGRA,,,,,,
A0PLGRA,,,,,,
A0PLNEE,No air cond,250,Manual trans,200,,
A0PLNEE,No air cond,250,Manual trans,200,,
A0PLVOY,2.4L-I4 (150hp),175,Psgr slider only,175,No ABS brakes,75
A0PLVOY,2.4L-I4 (150hp),175,Psgr slider only,175,No ABS brakes,75
A0POBON,,,,,,
A0POBON,,,,,,
A0POFIR,Manual trans,200,,,,
A0POFIR,Manual trans,200,,,,
A0POGRA,Manual trans,200,,,,
A0POGRA,Manual trans,200,,,,
A0POGRP,3.1L V6 (160hp),175,,,,
A0POGRP,3.1L V6 (160hp),175,,,,
A0POMON,,,,,,
A0POMON,,,,,,
A0POSUN,Manual trans,200,,,,
A0POSUN,Manual trans,200,,,,
A0POT/A,Manual trans,200,,,,
A0POTAM,Manual trans,200,,,,
A0PR911,No CD,75,,
A0PR911,No CD,75,,
A0PRBOX,No CD,75,,
A0PRBOX,No CD,75,,
A0RA4WD,,,,
A0RA4WD,,,,
A0SA9-3,Manual trans,225,,
A0SA9-5,Manual trans,225,,
A0SA900,Manual trans,225,,
